Date,EUROSTOXX50,S&P500
2018-03-27,3316.949951171875,2612.6201171875
2018-03-28,3331.25,2605.0
2018-03-29,3361.5,2640.8701171875
2018-04-03,3346.929931640625,2614.449951171875
2018-04-04,3340.35009765625,2644.68994140625
2018-04-05,3429.949951171875,2662.840087890625
2018-04-06,3408.10009765625,2604.469970703125
2018-04-09,3414.85009765625,2613.159912109375
2018-04-10,3438.780029296875,2656.8701171875
2018-04-11,3419.7099609375,2642.18994140625
2018-04-12,3443.969970703125,2663.989990234375
2018-04-13,3448.0,2656.300048828125
2018-04-16,3441.0400390625,2677.840087890625
2018-04-17,3477.909912109375,2706.389892578125
2018-04-18,3490.889892578125,2708.639892578125
2018-04-19,3486.60009765625,2693.1298828125
2018-04-20,3494.199951171875,2670.139892578125
2018-04-23,3513.06005859375,2670.2900390625
2018-04-24,3510.8798828125,2634.56005859375
2018-04-25,3485.830078125,2639.39990234375
2018-04-26,3506.030029296875,2666.93994140625
2018-04-27,3518.780029296875,2669.909912109375
2018-04-30,3536.52001953125,2648.050048828125
2018-05-02,3553.7900390625,2635.669921875
2018-05-03,3529.1201171875,2629.72998046875
2018-05-04,3550.590087890625,2663.419921875
2018-05-07,3564.18994140625,2672.6298828125
2018-05-08,3557.8798828125,2671.919921875
2018-05-09,3569.739990234375,2697.7900390625
2018-05-11,3565.52001953125,2727.719970703125
2018-05-14,3565.739990234375,2730.1298828125
2018-05-15,3564.2900390625,2711.449951171875
2018-05-16,3562.85009765625,2722.4599609375
2018-05-17,3592.179931640625,2720.1298828125
2018-05-18,3573.760009765625,2712.969970703125
2018-05-22,3587.25,2724.43994140625
2018-05-23,3541.820068359375,2733.2900390625
2018-05-24,3521.760009765625,2727.760009765625
2018-05-25,3515.360107421875,2721.330078125
2018-05-29,3428.139892578125,2689.860107421875
2018-05-30,3441.18994140625,2724.010009765625
2018-05-31,3406.64990234375,2705.27001953125
2018-06-01,3453.5400390625,2734.6201171875
2018-06-04,3469.570068359375,2746.8701171875
2018-06-05,3456.7900390625,2748.800048828125
2018-06-06,3460.820068359375,2772.35009765625
2018-06-07,3459.77001953125,2770.3701171875
2018-06-08,3447.300048828125,2779.030029296875
2018-06-11,3480.219970703125,2782.0
2018-06-12,3475.580078125,2786.85009765625
2018-06-13,3479.56005859375,2775.6298828125
2018-06-14,3527.110107421875,2782.489990234375
2018-06-15,3505.02001953125,2779.659912109375
2018-06-18,3466.64990234375,2773.75
2018-06-19,3435.300048828125,2762.590087890625
2018-06-20,3439.60009765625,2767.320068359375
2018-06-21,3403.510009765625,2749.760009765625
2018-06-22,3441.60009765625,2754.8798828125
2018-06-25,3369.2099609375,2717.070068359375
2018-06-26,3368.719970703125,2723.06005859375
2018-06-27,3397.1298828125,2699.6298828125
2018-06-28,3365.52001953125,2716.31005859375
2018-06-29,3395.60009765625,2718.3701171875
2018-07-02,3372.2099609375,2726.7099609375
2018-07-03,3406.340087890625,2713.219970703125
2018-07-05,3440.919921875,2736.610107421875
2018-07-06,3448.489990234375,2759.820068359375
2018-07-09,3460.43994140625,2784.169921875
2018-07-10,3473.31005859375,2793.840087890625
2018-07-11,3422.35009765625,2774.02001953125
2018-07-12,3445.489990234375,2798.2900390625
2018-07-13,3454.5400390625,2801.31005859375
2018-07-16,3449.080078125,2798.429931640625
2018-07-17,3457.5,2809.550048828125
2018-07-18,3485.080078125,2815.6201171875
2018-07-19,3471.639892578125,2804.489990234375
2018-07-20,3460.030029296875,2801.830078125
2018-07-23,3454.050048828125,2806.97998046875
2018-07-24,3483.31005859375,2820.39990234375
2018-07-25,3468.449951171875,2846.070068359375
2018-07-26,3509.260009765625,2837.43994140625
2018-07-27,3527.179931640625,2818.820068359375
2018-07-30,3512.31005859375,2802.60009765625
2018-07-31,3525.489990234375,2816.2900390625
2018-08-02,3469.2099609375,2827.219970703125
2018-08-03,3482.39990234375,2840.35009765625
2018-08-06,3483.300048828125,2850.39990234375
2018-08-07,3504.3701171875,2858.449951171875
2018-08-08,3493.60009765625,2857.699951171875
2018-08-09,3494.1298828125,2853.580078125
2018-08-10,3426.280029296875,2833.280029296875
2018-08-13,3409.679931640625,2821.929931640625
2018-08-14,3409.43994140625,2839.9599609375
2018-08-15,3359.080078125,2818.3701171875
2018-08-16,3377.56005859375,2840.68994140625
2018-08-17,3372.93994140625,2850.1298828125
2018-08-20,3393.669921875,2857.050048828125
2018-08-21,3411.659912109375,2862.9599609375
2018-08-22,3420.179931640625,2861.820068359375
2018-08-23,3419.260009765625,2856.97998046875
2018-08-24,3427.43994140625,2874.68994140625
2018-08-27,3456.010009765625,2896.739990234375
2018-08-28,3447.570068359375,2897.52001953125
2018-08-29,3456.1298828125,2914.0400390625
2018-08-30,3430.989990234375,2901.1298828125
2018-08-31,3392.89990234375,2901.52001953125
2018-09-04,3359.360107421875,2896.719970703125
2018-09-05,3315.6201171875,2888.60009765625
2018-09-06,3295.949951171875,2878.050048828125
2018-09-07,3293.360107421875,2871.679931640625
2018-09-10,3309.280029296875,2877.1298828125
2018-09-11,3311.659912109375,2887.889892578125
2018-09-12,3326.60009765625,2888.919921875
2018-09-13,3333.679931640625,2904.179931640625
2018-09-14,3344.6298828125,2904.97998046875
2018-09-17,3346.110107421875,2888.800048828125
2018-09-18,3358.4599609375,2904.31005859375
2018-09-19,3368.56005859375,2907.949951171875
2018-09-20,3403.1201171875,2930.75
2018-09-21,3430.81005859375,2929.669921875
2018-09-24,3410.43994140625,2919.3701171875
2018-09-25,3419.780029296875,2915.56005859375
2018-09-26,3433.14990234375,2905.969970703125
2018-09-27,3449.7900390625,2914.0
2018-09-28,3399.199951171875,2913.97998046875
2018-10-01,3414.159912109375,2924.590087890625
2018-10-02,3388.989990234375,2923.429931640625
2018-10-03,3405.47998046875,2925.510009765625
2018-10-04,3375.080078125,2901.610107421875
2018-10-05,3345.510009765625,2885.570068359375
2018-10-08,3309.719970703125,2884.429931640625
2018-10-09,3321.7900390625,2880.340087890625
2018-10-10,3266.89990234375,2785.679931640625
2018-10-11,3209.18994140625,2728.3701171875
2018-10-12,3194.409912109375,2767.1298828125
2018-10-15,3210.3701171875,2750.7900390625
2018-10-16,3257.340087890625,2809.919921875
2018-10-17,3243.080078125,2809.2099609375
2018-10-18,3211.590087890625,2768.780029296875
2018-10-19,3210.820068359375,2767.780029296875
2018-10-22,3190.090087890625,2755.8798828125
2018-10-23,3140.93994140625,2740.68994140625
2018-10-24,3130.330078125,2656.10009765625
2018-10-25,3164.39990234375,2705.570068359375
2018-10-26,3134.889892578125,2658.68994140625
2018-10-29,3154.929931640625,2641.25
2018-10-30,3147.1298828125,2682.6298828125
2018-10-31,3197.510009765625,2711.739990234375
2018-11-01,3204.2099609375,2740.3701171875
2018-11-02,3214.409912109375,2723.06005859375
2018-11-05,3217.3701171875,2738.31005859375
2018-11-06,3207.419921875,2755.449951171875
2018-11-07,3246.159912109375,2813.889892578125
2018-11-08,3237.60009765625,2806.830078125
2018-11-09,3229.489990234375,2781.010009765625
2018-11-12,3194.080078125,2726.219970703125
2018-11-13,3224.820068359375,2722.179931640625
2018-11-14,3205.360107421875,2701.580078125
2018-11-15,3190.31005859375,2730.199951171875
2018-11-16,3180.739990234375,2736.27001953125
2018-11-19,3160.330078125,2690.72998046875
2018-11-20,3116.070068359375,2641.889892578125
2018-11-21,3153.909912109375,2649.929931640625
2018-11-23,3137.2099609375,2632.56005859375
2018-11-26,3172.7099609375,2673.449951171875
2018-11-27,3166.419921875,2682.169921875
2018-11-28,3168.2900390625,2743.7900390625
2018-11-29,3174.159912109375,2737.800048828125
2018-11-30,3173.1298828125,2760.169921875
2018-12-03,3214.989990234375,2790.3701171875
2018-12-04,3189.25,2700.06005859375
2018-12-06,3045.93994140625,2695.949951171875
2018-12-07,3058.530029296875,2633.080078125
2018-12-10,3016.989990234375,2637.719970703125
2018-12-11,3055.320068359375,2636.780029296875
2018-12-12,3107.969970703125,2651.070068359375
2018-12-13,3112.169921875,2650.5400390625
2018-12-14,3092.60009765625,2599.949951171875
2018-12-17,3063.64990234375,2545.93994140625
2018-12-18,3040.1298828125,2546.159912109375
2018-12-19,3051.3798828125,2506.9599609375
2018-12-20,3000.06005859375,2467.419921875
2018-12-21,3000.610107421875,2416.6201171875
2018-12-27,2937.360107421875,2488.830078125
2018-12-28,2986.530029296875,2485.739990234375
2019-01-03,2954.659912109375,2447.889892578125
2019-01-04,3041.85009765625,2531.93994140625
2019-01-07,3033.639892578125,2549.68994140625
2019-01-08,3054.93994140625,2574.409912109375
2019-01-09,3070.239990234375,2584.9599609375
2019-01-10,3075.72998046875,2596.639892578125
2019-01-11,3070.0400390625,2596.260009765625
2019-01-14,3055.179931640625,2582.610107421875
2019-01-15,3068.050048828125,2610.300048828125
2019-01-16,3077.219970703125,2616.10009765625
2019-01-17,3069.35009765625,2635.9599609375
2019-01-18,3134.919921875,2670.7099609375
2019-01-22,3112.800048828125,2632.89990234375
2019-01-23,3112.1298828125,2638.699951171875
2019-01-24,3126.31005859375,2642.330078125
2019-01-25,3163.239990234375,2664.760009765625
2019-01-28,3137.27001953125,2643.85009765625
2019-01-29,3153.419921875,2640.0
2019-01-30,3161.739990234375,2681.050048828125
2019-01-31,3159.429931640625,2704.10009765625
2019-02-01,3171.1201171875,2706.530029296875
2019-02-04,3165.199951171875,2724.8701171875
2019-02-05,3215.0400390625,2737.699951171875
2019-02-06,3212.75,2731.610107421875
2019-02-07,3150.760009765625,2706.050048828125
2019-02-08,3135.6201171875,2707.8798828125
2019-02-11,3165.610107421875,2709.800048828125
2019-02-12,3190.75,2744.72998046875
2019-02-13,3202.3701171875,2753.030029296875
2019-02-14,3182.659912109375,2745.72998046875
2019-02-15,3241.25,2775.60009765625
2019-02-19,3239.409912109375,2779.760009765625
2019-02-20,3259.489990234375,2784.699951171875
2019-02-21,3263.699951171875,2774.8798828125
2019-02-22,3270.550048828125,2792.669921875
2019-02-25,3280.010009765625,2796.110107421875
2019-02-26,3289.320068359375,2793.89990234375
2019-02-27,3282.77001953125,2792.3798828125
2019-02-28,3298.260009765625,2784.489990234375
2019-03-01,3312.10009765625,2803.68994140625
2019-03-04,3317.1201171875,2792.81005859375
2019-03-05,3327.18994140625,2789.64990234375
2019-03-06,3324.669921875,2771.449951171875
2019-03-07,3308.85009765625,2748.929931640625
2019-03-08,3283.60009765625,2743.070068359375
2019-03-11,3304.43994140625,2783.300048828125
2019-03-12,3303.949951171875,2791.52001953125
2019-03-13,3323.449951171875,2810.919921875
2019-03-14,3342.030029296875,2808.47998046875
2019-03-15,3386.080078125,2822.47998046875
2019-03-18,3387.93994140625,2832.93994140625
2019-03-19,3409.0,2832.570068359375
2019-03-20,3372.3798828125,2824.22998046875
2019-03-21,3367.39990234375,2854.8798828125
2019-03-22,3305.72998046875,2800.7099609375
2019-03-25,3300.47998046875,2798.360107421875
2019-03-26,3319.530029296875,2818.4599609375
2019-03-27,3322.0400390625,2805.3701171875
2019-03-28,3320.2900390625,2815.43994140625
2019-03-29,3351.7099609375,2834.39990234375
2019-04-01,3385.3798828125,2867.18994140625
2019-04-02,3395.699951171875,2867.239990234375
2019-04-03,3435.56005859375,2873.39990234375
2019-04-04,3441.929931640625,2879.389892578125
2019-04-05,3447.469970703125,2892.739990234375
2019-04-08,3438.06005859375,2895.77001953125
2019-04-09,3417.219970703125,2878.199951171875
2019-04-10,3424.64990234375,2888.2099609375
2019-04-11,3435.340087890625,2888.320068359375
2019-04-12,3447.830078125,2907.409912109375
2019-04-15,3450.4599609375,2905.580078125
2019-04-16,3463.360107421875,2907.06005859375
2019-04-17,3477.72998046875,2900.449951171875
2019-04-18,3499.22998046875,2905.030029296875
2019-04-23,3503.85009765625,2933.679931640625
2019-04-24,3502.6298828125,2927.25
2019-04-25,3491.919921875,2926.169921875
2019-04-26,3500.409912109375,2939.8798828125
2019-04-29,3501.93994140625,2943.030029296875
2019-04-30,3514.6201171875,2945.830078125
2019-05-02,3488.929931640625,2917.52001953125
2019-05-03,3502.47998046875,2945.639892578125
2019-05-06,3462.949951171875,2932.469970703125
2019-05-07,3401.159912109375,2884.050048828125
2019-05-08,3417.260009765625,2879.419921875
2019-05-09,3350.7099609375,2870.719970703125
2019-05-10,3361.050048828125,2881.39990234375
2019-05-13,3320.780029296875,2811.8701171875
2019-05-14,3364.3798828125,2834.409912109375
2019-05-15,3385.780029296875,2850.9599609375
2019-05-16,3438.56005859375,2876.320068359375
2019-05-17,3425.639892578125,2859.530029296875
2019-05-20,3369.780029296875,2840.22998046875
2019-05-21,3386.510009765625,2864.360107421875
2019-05-22,3386.719970703125,2856.27001953125
2019-05-23,3327.199951171875,2822.239990234375
2019-05-24,3350.699951171875,2826.06005859375
2019-05-28,3348.860107421875,2802.389892578125
2019-05-29,3297.81005859375,2783.02001953125
2019-05-31,3280.429931640625,2752.06005859375
2019-06-03,3300.219970703125,2744.449951171875
2019-06-04,3333.489990234375,2803.27001953125
2019-06-05,3339.949951171875,2826.14990234375
2019-06-06,3338.409912109375,2843.489990234375
2019-06-07,3378.3798828125,2873.340087890625
2019-06-11,3401.10009765625,2885.719970703125
