,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA
52,^GSPC,1991-08-19,2,3.024995193401997,0.8254896090601636,0.9747327442547783
53,^GSPC,1991-08-19,2,3.024995193401997,0.8254896090601636,0.9747327442547783
54,^GSPC,1991-08-19,3,3.024995193401997,0.8254896090601636,0.9747327442547783
55,^GSPC,1992-08-24,5,1.1468426532057383,0.7356203140332108,0.7976961194684661
56,^GSPC,1992-08-26,3,0.7474425780988624,0.7880499156901097,0.7308704767342677
57,^GSPC,1992-09-11,4,0.3453529680980805,0.7050163616961114,0.6846079577934953
58,^GSPC,1993-08-31,3,0.490888035614675,0.5481324011569819,0.586180607561769
59,^GSPC,1995-08-03,2,0.8446423509191993,0.9037637051499049,0.7563507197424957
60,^GSPC,1995-10-04,3,0.4181636843944935,0.6747391655304145,0.595754961126328
61,^GSPC,1996-07-12,2,1.1538599160621483,0.8946551187105188,0.9050220702985944
62,^GSPC,1996-09-06,3,1.3413404760466714,0.7545046156640988,1.1071696735627996
63,^GSPC,1998-09-25,2,2.249591359188305,3.1899275351292715,2.500551798037145
64,^GSPC,1998-09-29,2,1.5676110670697494,3.100642789682151,2.759554836159498
65,^GSPC,1998-08-27,2,4.390607754036768,1.9115751575447986,1.5973479077516561
66,^GSPC,1999-09-16,2,1.7189865494013135,1.4227061036796795,1.5410822098312167
67,^GSPC,1999-10-18,2,1.6423995266409923,1.7502031203469204,1.5467522135995375
68,^GSPC,1999-08-23,3,1.7524152323436883,1.4852408571733233,1.2307825228680342
69,^GSPC,1999-09-16,4,1.7189865494013135,1.4227061036796795,1.5410822098312167
70,^GSPC,1950-09-05,3,0.0,0.0,0.0
71,^GSPC,1950-10-18,4,0.0,0.0,0.0
0,^N225,2003-09-18,2,1.8045027632450172,1.4419587304759223,1.4430703878204192
1,^N225,2004-09-16,3,0.7889517978764927,1.0653441517577873,1.1561228391935499
2,^N225,2004-08-13,4,1.3518437450266378,1.2140186030083318,1.1329670255336353
3,^N225,2004-09-16,3,0.7889517978764927,1.0653441517577873,1.1561228391935499
4,^N225,2005-08-29,3,0.9078919008561483,0.8499557546311924,0.650553128567025
5,^N225,2005-08-25,3,0.5267775995114238,0.8335164475747945,0.5654759905980239
6,^N225,2005-10-24,3,1.2245867680843618,1.2726431559901283,0.8807614707497949
7,^N225,2005-08-29,3,0.9078919008561483,0.8499557546311924,0.650553128567025
8,^N225,2005-08-29,3,0.9078919008561483,0.8499557546311924,0.650553128567025
9,^N225,2008-09-01,2,0.8253829955401979,1.4332165010169755,1.4978665330467242
10,^N225,2014-07-04,2,0.4548612294762487,0.962455881237655,0.904206831497139
11,^N225,2016-10-07,2,0.4444262930885913,0.9462979861697491,0.8023496308110245
