United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.2,3.7,5.4,3.5,5.7,3.4,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,11.3,11.1,12.7,10.8,13.1,10.4,13.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.3,1.0,1.4,0.9,1.4,7,17.5,15.8,19.4,15.3,20.2,14.7,20.6
2011,1,14.8,13.4,15.3,13.1,15.8,12.9,16.1,2,6.2,5.9,7.1,5.7,7.4,5.5,7.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,38.8,36.0,42.0,34.9,43.2,33.5,45.2,2,19.8,17.4,21.6,16.9,22.5,16.6,23.1,1,2.3,1.8,2.5,1.8,2.5,1.7,2.7,1,2.2,1.8,2.3,1.8,2.4,1.7,2.4,16,84.1,76.3,90.8,74.2,93.8,71.9,97.1
2012,1,36.3,35.0,39.2,34.2,40.2,33.7,40.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,19.8,18.2,20.3,17.8,20.9,17.7,21.0,2,82.0,68.2,89.8,64.5,94.6,62.4,97.5,1,2.1,1.8,2.3,1.8,2.4,1.7,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,140.2,123.2,151.6,118.3,158.1,115.5,161.9
2013,1,12.4,11.7,13.5,11.4,14.0,11.2,14.2,2,3.1,2.8,3.7,2.6,3.9,2.5,4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,12.8,12.0,13.3,11.7,13.9,11.3,14.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,28.3,26.5,30.5,25.7,31.8,25.0,32.7
2014,1,4.6,4.0,5.3,3.7,5.6,3.5,5.8,1,1.2,1.1,1.3,0.9,1.4,0.9,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.9,12.3,13.6,12.1,13.9,11.8,14.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.5,2.5,2.8,2.3,2.9,2.1,3.0,9,21.2,19.9,23.0,19.0,23.8,18.3,24.3
2015,1,5.2,4.7,6.7,4.4,7.2,4.2,7.6,2,5.2,4.3,5.5,4.1,5.7,3.9,5.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,9.6,9.0,10.5,8.7,10.8,8.6,11.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.5,3.3,3.7,3.2,3.8,3.1,3.8,1,3.5,3.4,3.6,3.3,3.7,3.2,3.9,11,27.0,24.7,30.0,23.7,31.2,23.0,32.2
2016,1,4.0,2.8,4.4,2.5,4.6,2.3,4.8,4,18.3,14.3,21.5,13.4,22.6,12.6,23.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,16.8,14.6,17.3,14.2,17.8,14.0,18.3,1,11.5,8.5,12.5,8.3,12.9,8.1,13.2,1,2.8,2.4,2.9,2.3,2.9,2.3,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,53.4,42.6,58.6,40.7,60.8,39.3,63.0
2017,1,2.8,2.1,3.0,2.0,3.2,1.9,3.3,2,3.6,2.8,4.0,2.4,4.3,2.3,4.5,1,1.1,0.9,1.3,0.9,1.4,0.8,1.4,8,18.5,17.4,19.8,16.7,20.3,16.1,21.1,3,294.2,237.5,340.9,213.7,374.7,199.9,388.6,1,20.0,16.4,22.8,15.8,24.4,15.5,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,340.2,277.1,391.8,251.5,428.3,236.5,443.9
2018,1,3.3,2.9,3.7,2.8,3.8,2.7,4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,12.6,11.0,13.6,10.7,14.3,10.4,15.1,2,52.9,43.2,62.7,37.8,68.0,33.0,72.9,1,26.2,21.5,30.8,20.7,31.6,19.6,32.7,2,3.5,3.0,3.9,2.9,4.2,2.8,4.4,14,98.5,81.6,114.7,74.9,121.9,68.5,129.2
2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,21.5,17.0,25.1,16.3,26.2,15.3,29.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,14.6,13.3,16.5,12.7,17.0,12.1,18.0,2,7.1,4.5,9.0,4.2,9.6,3.9,10.2,1,4.8,3.5,5.6,3.2,6.4,2.7,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,48.0,38.3,56.2,36.4,59.2,34.0,64.8
2020,1,4.7,4.1,5.3,3.9,5.5,3.7,5.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,35.5,32.4,38.7,31.2,40.4,29.8,41.8,7,42.7,38.2,47.9,35.9,50.2,34.2,52.2,1,17.3,14.2,20.5,13.7,19.7,13.1,21.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,100.2,88.9,112.4,84.7,115.8,80.8,121.3
2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.5,2.1,3.0,2.0,3.1,1.8,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,14.5,12.0,16.0,11.8,16.5,11.0,17.4,4,67.0,59.2,87.0,56.1,93.4,51.8,100.9,1,0.0,5.5,9.5,5.0,9.8,4.5,10.5,1,20.8,17.6,24.3,16.4,25.5,15.3,27.7,18,104.8,96.4,139.8,91.3,148.3,84.4,159.8
