areaCode,areaName,areaType,date,cumCasesBySpecimenDate
K02000001,United Kingdom,overview,2020-08-24,329303
K02000001,United Kingdom,overview,2020-08-23,328031
K02000001,United Kingdom,overview,2020-08-22,327207
K02000001,United Kingdom,overview,2020-08-21,326383
K02000001,United Kingdom,overview,2020-08-20,325186
K02000001,United Kingdom,overview,2020-08-19,323727
K02000001,United Kingdom,overview,2020-08-18,322486
K02000001,United Kingdom,overview,2020-08-17,321404
K02000001,United Kingdom,overview,2020-08-16,320126
K02000001,United Kingdom,overview,2020-08-15,319528
K02000001,United Kingdom,overview,2020-08-14,318834
K02000001,United Kingdom,overview,2020-08-13,317673
K02000001,United Kingdom,overview,2020-08-12,316534
K02000001,United Kingdom,overview,2020-08-11,315327
K02000001,United Kingdom,overview,2020-08-10,313987
K02000001,United Kingdom,overview,2020-08-09,312518
K02000001,United Kingdom,overview,2020-08-08,311904
K02000001,United Kingdom,overview,2020-08-07,311209
K02000001,United Kingdom,overview,2020-08-06,310266
K02000001,United Kingdom,overview,2020-08-05,309186
K02000001,United Kingdom,overview,2020-08-04,308129
K02000001,United Kingdom,overview,2020-08-03,307111
K02000001,United Kingdom,overview,2020-08-02,306074
K02000001,United Kingdom,overview,2020-08-01,305520
K02000001,United Kingdom,overview,2020-07-31,304978
K02000001,United Kingdom,overview,2020-07-30,304302
K02000001,United Kingdom,overview,2020-07-29,303377
K02000001,United Kingdom,overview,2020-07-28,302339
K02000001,United Kingdom,overview,2020-07-27,301498
K02000001,United Kingdom,overview,2020-07-26,300642
K02000001,United Kingdom,overview,2020-07-25,300084
K02000001,United Kingdom,overview,2020-07-24,299560
K02000001,United Kingdom,overview,2020-07-23,298787
K02000001,United Kingdom,overview,2020-07-22,297991
K02000001,United Kingdom,overview,2020-07-21,297196
K02000001,United Kingdom,overview,2020-07-20,296414
K02000001,United Kingdom,overview,2020-07-19,295602
K02000001,United Kingdom,overview,2020-07-18,295158
K02000001,United Kingdom,overview,2020-07-17,294661
K02000001,United Kingdom,overview,2020-07-16,294081
K02000001,United Kingdom,overview,2020-07-15,293375
K02000001,United Kingdom,overview,2020-07-14,292602
K02000001,United Kingdom,overview,2020-07-13,291910
K02000001,United Kingdom,overview,2020-07-12,291174
K02000001,United Kingdom,overview,2020-07-11,290805
K02000001,United Kingdom,overview,2020-07-10,290359
K02000001,United Kingdom,overview,2020-07-09,289794
K02000001,United Kingdom,overview,2020-07-08,289075
K02000001,United Kingdom,overview,2020-07-07,288373
K02000001,United Kingdom,overview,2020-07-06,287769
K02000001,United Kingdom,overview,2020-07-05,287064
K02000001,United Kingdom,overview,2020-07-04,286508
K02000001,United Kingdom,overview,2020-07-03,286106
K02000001,United Kingdom,overview,2020-07-02,285532
K02000001,United Kingdom,overview,2020-07-01,284922
K02000001,United Kingdom,overview,2020-06-30,284265
K02000001,United Kingdom,overview,2020-06-29,283648
K02000001,United Kingdom,overview,2020-06-28,282921
K02000001,United Kingdom,overview,2020-06-27,282475
K02000001,United Kingdom,overview,2020-06-26,281823
K02000001,United Kingdom,overview,2020-06-25,281154
K02000001,United Kingdom,overview,2020-06-24,280435
K02000001,United Kingdom,overview,2020-06-23,279660
K02000001,United Kingdom,overview,2020-06-22,278772
K02000001,United Kingdom,overview,2020-06-21,277878
K02000001,United Kingdom,overview,2020-06-20,277241
K02000001,United Kingdom,overview,2020-06-19,276555
K02000001,United Kingdom,overview,2020-06-18,275559
K02000001,United Kingdom,overview,2020-06-17,274534
K02000001,United Kingdom,overview,2020-06-16,273522
K02000001,United Kingdom,overview,2020-06-15,272419
K02000001,United Kingdom,overview,2020-06-14,271378
K02000001,United Kingdom,overview,2020-06-13,270559
K02000001,United Kingdom,overview,2020-06-12,269672
K02000001,United Kingdom,overview,2020-06-11,268614
K02000001,United Kingdom,overview,2020-06-10,267604
K02000001,United Kingdom,overview,2020-06-09,266413
K02000001,United Kingdom,overview,2020-06-08,265260
K02000001,United Kingdom,overview,2020-06-07,264164
K02000001,United Kingdom,overview,2020-06-06,263442
K02000001,United Kingdom,overview,2020-06-05,262636
K02000001,United Kingdom,overview,2020-06-04,261510
K02000001,United Kingdom,overview,2020-06-03,260260
K02000001,United Kingdom,overview,2020-06-02,258904
K02000001,United Kingdom,overview,2020-06-01,257419
K02000001,United Kingdom,overview,2020-05-31,255980
K02000001,United Kingdom,overview,2020-05-30,254899
K02000001,United Kingdom,overview,2020-05-29,253781
K02000001,United Kingdom,overview,2020-05-28,252254
K02000001,United Kingdom,overview,2020-05-27,250499
K02000001,United Kingdom,overview,2020-05-26,248674
K02000001,United Kingdom,overview,2020-05-25,246618
K02000001,United Kingdom,overview,2020-05-24,245002
K02000001,United Kingdom,overview,2020-05-23,243637
K02000001,United Kingdom,overview,2020-05-22,242110
K02000001,United Kingdom,overview,2020-05-21,240058
K02000001,United Kingdom,overview,2020-05-20,237493
